#   Wavelength        (Rp/Rs)**2
#           um          unitless
     2.5000000   1.458769615e-02
     2.4999375   1.506365415e-02
     2.4998750   1.546730767e-02
     2.4998125   1.462496256e-02
     2.4997500   1.506121799e-02
     2.4996875   1.492557289e-02
     2.4996251   1.495151431e-02
     2.4995626   1.466673945e-02
     2.4995001   1.467810014e-02
     2.4994376   1.471435785e-02
     2.4993752   1.483320079e-02
     2.4993127   1.478310610e-02
     2.4992502   1.479361168e-02
     2.4991878   1.476585844e-02
     2.4991253   1.484320177e-02
     2.4990629   1.466050755e-02
     2.4990004   1.549099529e-02
     2.4989380   1.466788805e-02
     2.4988755   1.528275380e-02
     2.4988131   1.539811253e-02
     2.4987506   1.471232327e-02
     2.4986882   1.540046958e-02
     2.4986258   1.485294209e-02
     2.4985633   1.476773328e-02
     2.4985009   1.530773966e-02
     2.4984385   1.470751796e-02
     2.4983761   1.514094665e-02
     2.4983136   1.558828851e-02
     2.4982512   1.501670103e-02
     2.4981888   1.474720635e-02
     2.4981264   1.477501122e-02
     2.4980640   1.477573302e-02
     2.4980016   1.505719603e-02
     2.4979392   1.520988057e-02
     2.4978768   1.518006292e-02
     2.4978144   1.487294167e-02
     2.4977520   1.483793612e-02
     2.4976896   1.538344911e-02
     2.4976273   1.532285430e-02
     2.4975649   1.556825614e-02
     2.4975025   1.556031435e-02
     2.4974401   1.549612317e-02
     2.4973778   1.516677349e-02
     2.4973154   1.475473675e-02
     2.4972530   1.463477213e-02
     2.4971907   1.481820210e-02
     2.4971283   1.522695220e-02
     2.4970659   1.520022897e-02
     2.4970036   1.468317972e-02
     2.4969412   1.460751951e-02
     2.4968789   1.458997478e-02
     2.4968166   1.460411116e-02
     2.4967542   1.464093418e-02
     2.4966919   1.508309161e-02
     2.4966296   1.456131965e-02
     2.4965672   1.484733999e-02
     2.4965049   1.456298011e-02
     2.4964426   1.456992989e-02
     2.4963802   1.487336474e-02
     2.4963179   1.455113524e-02
     2.4962556   1.495372255e-02
     2.4961933   1.460306813e-02
     2.4961310   1.459307767e-02
     2.4960687   1.464911446e-02
     2.4960064   1.515187792e-02
     2.4959441   1.463608973e-02
     2.4958818   1.456191954e-02
     2.4958195   1.505172733e-02
     2.4957572   1.531526465e-02
     2.4956949   1.488100248e-02
     2.4956326   1.462193798e-02
     2.4955704   1.527469505e-02
     2.4955081   1.459447878e-02
     2.4954458   1.472589203e-02
     2.4953835   1.468382493e-02
     2.4953213   1.473216466e-02
     2.4952590   1.466353011e-02
     2.4951967   1.466503029e-02
     2.4951345   1.463273655e-02
     2.4950722   1.514867561e-02
     2.4950100   1.506987565e-02
     2.4949477   1.455531883e-02
     2.4948855   1.458984939e-02
     2.4948232   1.454369883e-02
     2.4947610   1.469681553e-02
     2.4946988   1.457622172e-02
     2.4946365   1.457320340e-02
     2.4945743   1.487453226e-02
     2.4945121   1.457105199e-02
     2.4944498   1.503089869e-02
     2.4943876   1.456134000e-02
     2.4943254   1.460433688e-02
     2.4942632   1.460526657e-02
     2.4942010   1.482250816e-02
     2.4941388   1.464223614e-02
     2.4940766   1.499104074e-02
     2.4940144   1.491231120e-02
     2.4939522   1.457069020e-02
     2.4938900   1.457905071e-02
     2.4938278   1.465994557e-02
     2.4937656   1.520118262e-02
     2.4937034   1.464837994e-02
     2.4936412   1.541652382e-02
     2.4935790   1.464645268e-02
     2.4935169   1.462602674e-02
     2.4934547   1.507252584e-02
     2.4933925   1.459005777e-02
     2.4933303   1.498343822e-02
     2.4932682   1.464869687e-02
     2.4932060   1.470819924e-02
     2.4931439   1.462739781e-02
     2.4930817   1.465138869e-02
     2.4930195   1.458064748e-02
     2.4929574   1.457362332e-02
     2.4928952   1.454962298e-02
     2.4928331   1.481682735e-02
