#  Wavelength              Flux
#          um   erg s-1 cm-2 cm
     2.500000   3.991657745e+04
     2.499375   3.990480751e+04
     2.498751   3.989303429e+04
     2.498126   3.988125778e+04
     2.497502   3.986947799e+04
     2.496879   3.985769494e+04
     2.496256   3.984590863e+04
     2.495633   3.983411906e+04
     2.495010   3.982232624e+04
     2.494388   3.981053020e+04
     2.493766   3.979873092e+04
     2.493144   3.978692842e+04
     2.492522   3.977512270e+04
     2.491901   3.976331379e+04
     2.491281   3.975150167e+04
     2.490660   3.973968636e+04
     2.490040   3.972786788e+04
     2.489420   3.971604622e+04
     2.488800   3.970422139e+04
     2.488181   3.969239340e+04
     2.487562   3.968056227e+04
     2.486944   3.966872799e+04
     2.486325   3.965689058e+04
     2.485707   3.964505004e+04
     2.485089   3.963320638e+04
     2.484472   3.962135961e+04
     2.483855   3.960950973e+04
     2.483238   3.959765677e+04
     2.482622   3.958580071e+04
     2.482005   3.957394157e+04
     2.481390   3.956207936e+04
     2.480774   3.955021409e+04
     2.480159   3.953834576e+04
     2.479544   3.952647438e+04
     2.478929   3.951459997e+04
     2.478315   3.950272251e+04
     2.477701   3.949084204e+04
     2.477087   3.947895854e+04
     2.476474   3.946707204e+04
     2.475860   3.945518253e+04
     2.475248   3.944329003e+04
     2.474635   3.943139454e+04
     2.474023   3.941949607e+04
     2.473411   3.940759463e+04
     2.472799   3.939569023e+04
     2.472188   3.938378287e+04
     2.471577   3.937187257e+04
     2.470966   3.935995932e+04
     2.470356   3.934804314e+04
     2.469746   3.933612404e+04
     2.469136   3.932420201e+04
     2.468526   3.931227708e+04
     2.467917   3.930034925e+04
     2.467308   3.928841852e+04
     2.466700   3.927648491e+04
     2.466091   3.926454842e+04
     2.465483   3.925260905e+04
     2.464876   3.924066683e+04
     2.464268   3.922872174e+04
     2.463661   3.921677381e+04
     2.463054   3.920482304e+04
     2.462448   3.919286943e+04
     2.461841   3.918091300e+04
     2.461236   3.916895375e+04
     2.460630   3.915699170e+04
     2.460025   3.914502684e+04
     2.459420   3.913305918e+04
     2.458815   3.912108874e+04
     2.458210   3.910911551e+04
     2.457606   3.909713952e+04
     2.457002   3.908516076e+04
     2.456399   3.907317924e+04
     2.455796   3.906119497e+04
     2.455193   3.904920797e+04
     2.454590   3.903721822e+04
     2.453988   3.902522575e+04
     2.453386   3.901323057e+04
     2.452784   3.900123267e+04
     2.452182   3.898923206e+04
     2.451581   3.897722876e+04
     2.450980   3.896522277e+04
     2.450380   3.895321410e+04
     2.449780   3.894120276e+04
     2.449180   3.892918874e+04
     2.448580   3.891717207e+04
     2.447980   3.890515275e+04
     2.447381   3.889313079e+04
     2.446782   3.888110618e+04
     2.446184   3.886907895e+04
     2.445586   3.885704910e+04
     2.444988   3.884501663e+04
     2.444390   3.883298156e+04
     2.443793   3.882094389e+04
     2.443196   3.880890362e+04
     2.442599   3.879686077e+04
     2.442002   3.878481535e+04
     2.441406   3.877276735e+04
     2.440810   3.876071680e+04
     2.440215   3.874866369e+04
     2.439619   3.873660803e+04
     2.439024   3.872454983e+04
     2.438430   3.871248911e+04
     2.437835   3.870042585e+04
     2.437241   3.868836008e+04
     2.436647   3.867629180e+04
     2.436054   3.866422102e+04
     2.435460   3.865214774e+04
     2.434867   3.864007197e+04
     2.434275   3.862799373e+04
     2.433682   3.861591301e+04
     2.433090   3.860382982e+04
     2.432498   3.859174418e+04
     2.431907   3.857965609e+04
     2.431315   3.856756555e+04
     2.430724   3.855547257e+04
     2.430134   3.854337717e+04
     2.429543   3.853127935e+04
     2.428953   3.851917911e+04
     2.428363   3.850707647e+04
     2.427774   3.849497142e+04
     2.427184   3.848286398e+04
     2.426595   3.847075416e+04
     2.426007   3.845864196e+04
     2.425418   3.844652740e+04
     2.424830   3.843441046e+04
     2.424242   3.842229118e+04
