#   Wavelength        (Rp/Rs)**2
#           um          unitless
     2.5000000   1.454917808e-02
     2.4999375   1.510414027e-02
     2.4998750   1.553187933e-02
     2.4998125   1.461388308e-02
     2.4997500   1.510148717e-02
     2.4996875   1.495739587e-02
     2.4996251   1.498503315e-02
     2.4995626   1.466947293e-02
     2.4995001   1.468583984e-02
     2.4994376   1.472684789e-02
     2.4993752   1.485799393e-02
     2.4993127   1.480310414e-02
     2.4992502   1.481507174e-02
     2.4991878   1.478418495e-02
     2.4991253   1.486881976e-02
     2.4990629   1.466479518e-02
     2.4990004   1.555700011e-02
     2.4989380   1.467377614e-02
     2.4988755   1.533624245e-02
     2.4988131   1.545851241e-02
     2.4987506   1.472568932e-02
     2.4986882   1.546100905e-02
     2.4986258   1.487938085e-02
     2.4985633   1.478710249e-02
     2.4985009   1.536271982e-02
     2.4984385   1.472004138e-02
     2.4983761   1.518603073e-02
     2.4983136   1.566021749e-02
     2.4982512   1.505413087e-02
     2.4981888   1.476447844e-02
     2.4981264   1.479492935e-02
     2.4980640   1.479581687e-02
     2.4980016   1.509715438e-02
     2.4979392   1.525901784e-02
     2.4978768   1.522741802e-02
     2.4978144   1.490065598e-02
     2.4977520   1.486310248e-02
     2.4976896   1.544296326e-02
     2.4976273   1.537873627e-02
     2.4975649   1.563896122e-02
     2.4975025   1.563053485e-02
     2.4974401   1.556243896e-02
     2.4973778   1.521340286e-02
     2.4973154   1.477208676e-02
     2.4972530   1.463001162e-02
     2.4971907   1.484170434e-02
     2.4971283   1.527713785e-02
     2.4970659   1.524883000e-02
     2.4970036   1.469064279e-02
     2.4969412   1.459076795e-02
     2.4968789   1.455583264e-02
     2.4968166   1.457977250e-02
     2.4967542   1.462433157e-02
     2.4966919   1.512476081e-02
     2.4966296   1.449012229e-02
     2.4965672   1.487313622e-02
     2.4965049   1.446634126e-02
     2.4964426   1.448206139e-02
     2.4963802   1.490132489e-02
     2.4963179   1.443849700e-02
     2.4962556   1.498745438e-02
     2.4961933   1.457119843e-02
     2.4961310   1.455148829e-02
     2.4960687   1.463481760e-02
     2.4960064   1.519763292e-02
     2.4959441   1.463054304e-02
     2.4958818   1.450047275e-02
     2.4958195   1.509153649e-02
     2.4957572   1.537070320e-02
     2.4956949   1.490957963e-02
     2.4956326   1.460353518e-02
     2.4955704   1.532772182e-02
     2.4955081   1.455752973e-02
     2.4954458   1.473825817e-02
     2.4953835   1.469224231e-02
     2.4953213   1.474709571e-02
     2.4952590   1.466467874e-02
     2.4951967   1.466473691e-02
     2.4951345   1.462831662e-02
     2.4950722   1.519423622e-02
     2.4950100   1.511076889e-02
     2.4949477   1.446549226e-02
     2.4948855   1.452564207e-02
     2.4948232   1.441172515e-02
     2.4947610   1.470010754e-02
     2.4946988   1.450862420e-02
     2.4946365   1.449059742e-02
